athlete_id,full_name,date_of_birth,gender,nationality,contact_info,status,created_at
25,Danielle Dean,1998-01-01,Female,Brazilian,+1-691-508-9101x748,active,2024-11-30T01:36:10
26,Elizabeth Smith,1997-05-20,Female,Dutch,666.543.5796,inactive,2024-03-24T00:00:03
27,Cheryl Snyder,2004-12-02,Female,South Korean,352.768.5054x1488,inactive,2025-06-07T09:19:08
28,Edward Ross,1997-12-20,Male,Spanish,396.449.1088x424,active,2024-12-02T05:30:14
29,Ann Johnson,2003-05-18,Female,American,+1-731-228-1666,inactive,2025-12-19T23:45:25
30,Samantha Alvarez,1999-01-22,Female,German,8238133980,active,2025-10-23T22:59:33
31,Jennifer Villa,1996-01-08,Female,Italian,001-585-639-7118x9560,active,2024-10-13T10:46:19
32,Peter Patterson,1996-09-18,Male,Dutch,001-922-460-6665,active,2026-04-21T09:54:32
33,Sydney Gallagher,2001-09-08,Female,Brazilian,001-369-717-0326x0615,inactive,2025-09-07T11:54:36
34,Mrs. Denise Lara,2001-09-06,Female,Nigerian,554.933.8921x612,retired,2026-04-12T15:29:42
35,Tanya Cline,2005-11-21,Female,Japanese,550.997.5504,active,2026-03-06T10:38:04
36,Joshua Mathews,2002-08-24,Male,South Korean,001-418-688-5690,retired,2025-06-12T19:23:51
37,Sue Sullivan,2003-08-15,Female,Dutch,+1-268-375-1087x018,active,2023-08-06T07:49:42
38,Richard Vasquez,1998-04-17,Male,English,001-526-230-8451x0635,active,2025-05-19T23:42:15
39,Lori King,1995-01-14,Female,Portuguese,901-715-8051x24237,active,2023-11-23T00:27:26
40,Kyle Kirk,2000-09-10,Male,South Korean,001-469-689-7940x4972,active,2023-07-11T02:54:34
41,Mary Odonnell,2004-06-09,Female,Dutch,(591)853-8325,retired,2023-12-09T15:30:48
42,Stanley Hubbard,1996-09-18,Male,Argentine,391-732-2847x41381,active,2025-01-22T07:50:15
43,Adam Jacobs,2001-09-19,Male,Argentine,316-367-8662x415,inactive,2024-09-30T22:57:23
44,Brad Wallace,1996-04-03,Male,South Korean,(692)990-6056x798,active,2024-12-21T11:49:30
45,Melinda Johns,1997-09-07,Female,Pakistani,561-288-1577,active,2024-11-07T14:53:46
46,Tristan Gaines,1995-12-17,Male,Portuguese,001-993-326-6121x40095,inactive,2026-04-19T20:44:45
47,Victor Robinson,2005-12-19,Male,Italian,+1-865-328-8395x577,retired,2024-03-28T02:35:17
48,Brandon Daugherty,1996-06-09,Male,Dutch,321-318-2894,inactive,2025-07-08T17:53:11
49,William Thornton,1997-12-21,Male,Japanese,(614)508-2512x268,retired,2024-03-05T03:49:49
50,Kristina Hughes,2005-10-25,Female,German,(609)557-1019,retired,2023-10-26T18:57:40
51,Michael Newman,2002-12-30,Male,French,(457)225-5083x5678,inactive,2024-02-15T07:57:21
52,Heather Berry,1999-11-30,Female,South Korean,618-669-9021,retired,2024-04-28T14:52:33
53,Monica Ellis,1996-05-10,Female,German,(789)346-1804x91988,active,2025-04-14T13:58:00
54,Fred Smith,1998-10-16,Male,Pakistani,+1-231-685-4119x9401,retired,2024-05-21T10:30:23
55,Dale Stanley,2001-08-07,Male,German,(700)839-9003,active,2026-01-24T01:57:21
56,James Berry,2002-12-09,Male,Dutch,001-258-620-8751x316,active,2025-05-10T13:12:35
57,Samuel Simmons,1995-10-04,Male,South Korean,+1-731-489-4776x40378,active,2025-01-27T13:22:02
58,Julia Gonzalez,1995-10-18,Female,Japanese,601-680-1218x019,active,2025-02-16T02:44:16
59,Mrs. Lisa Hester DVM,2002-07-03,Female,Nigerian,(802)457-1761x5877,active,2024-02-23T13:33:21
60,Gregory Moss,2003-02-10,Male,South Korean,629.863.5528,retired,2025-09-14T14:05:19
61,Shelly Wilson,1997-09-22,Female,Italian,420.446.9086x53624,inactive,2024-10-07T09:18:50
62,Shannon Simmons,1997-02-18,Female,Brazilian,001-836-942-5501x4513,active,2026-05-06T20:50:22
63,Beth Nash,1998-12-22,Female,English,001-893-751-8213x643,inactive,2025-03-29T12:56:44
64,Barbara Simmons,2004-09-08,Female,Portuguese,681-511-4881x8911,active,2024-06-25T07:45:28
65,Ryan Anderson,1995-09-06,Male,English,001-762-603-6632,active,2024-10-08T19:04:36
66,Samuel Roberts,1997-10-15,Male,German,215-991-8601x12839,active,2023-06-01T23:53:31
67,Natalie Meyer,1996-07-28,Female,English,(652)751-1013,active,2025-06-30T08:44:13
68,Valerie Collins,2000-03-09,Female,German,728.599.6755,active,2024-09-21T14:20:27
69,Frances Butler,2004-01-23,Female,Moroccan,(207)217-6692,retired,2023-09-15T23:43:49
70,Christopher Holmes,1995-07-27,Male,Dutch,5603469161,retired,2024-01-08T21:35:44
71,Charles Lopez,2005-11-13,Male,Brazilian,571-588-6032,active,2023-12-17T11:19:33
72,Derrick Boyer,1999-07-23,Male,Nigerian,+1-640-683-5161x9346,inactive,2024-10-11T19:13:41
73,Robert Wells MD,2004-09-11,Male,English,293.654.0676x5833,active,2023-05-21T20:32:53
74,David Hughes,1999-04-02,Male,Pakistani,701-676-7077,inactive,2023-11-17T15:59:56
75,Rebecca Landry,2005-05-23,Female,Italian,+1-478-896-8393x89064,inactive,2024-11-30T09:14:42
76,Tanya Baldwin,1999-09-29,Female,Portuguese,(546)580-8141x153,retired,2024-06-22T09:55:42
77,Susan Page,1996-09-26,Female,German,965-589-7887,active,2026-01-27T13:40:07
78,Dale Tucker,2005-11-11,Male,Pakistani,850.419.1731x44716,retired,2026-05-02T12:47:48
79,Ryan Harris,2003-05-22,Male,Argentine,4304835948,active,2024-11-10T16:06:47
80,Corey Knight,2001-07-20,Male,Nigerian,507.975.0617x060,retired,2026-05-04T13:17:23
81,Jesus Cuevas,1995-08-21,Male,Japanese,(995)311-7290,active,2024-07-15T03:50:26
82,James Smith,1995-10-08,Male,American,551-221-3383x42469,active,2024-03-24T02:41:42
83,Daniel Moore,1999-07-12,Male,Brazilian,939.443.5697,retired,2023-12-06T04:19:36
84,Ricky Huynh,2001-06-29,Male,American,+1-425-538-6099x1094,active,2025-03-15T15:50:21
85,Nicholas Warner,1999-09-14,Male,Dutch,367.839.8377,retired,2024-06-05T18:56:41
86,Jessica Spencer,2005-06-25,Female,French,2574415836,active,2024-08-30T11:19:44
87,Heidi Mcconnell,1997-09-04,Female,French,+1-901-651-0221,inactive,2026-03-08T07:35:16
88,Eric Taylor,2002-07-14,Male,Dutch,6637714929,active,2024-05-28T15:01:40
89,Ebony Rodriguez,1998-07-19,Female,South Korean,652-965-1630,active,2025-04-18T01:56:16
90,John Medina,2000-02-21,Male,American,001-315-603-7003x742,retired,2025-08-27T06:41:32
91,Jason Miller,1995-10-28,Male,Japanese,2727942194,active,2023-12-22T14:39:03
92,Paula Mitchell,1996-06-26,Female,South Korean,(499)634-1240x0115,active,2024-04-04T15:59:22
93,Jonathan Diaz,2004-11-10,Male,German,464.728.8965,active,2024-12-12T06:13:56
94,Jessica Hull,1996-10-08,Female,Nigerian,624.374.8734,retired,2023-06-26T00:30:36
95,Nicole Bradley,2001-11-10,Female,Italian,+1-748-444-2419x530,retired,2026-03-04T14:56:11
96,Gene Thomas,2002-06-28,Male,Moroccan,305-244-2070,retired,2026-01-05T23:50:52
97,Rebecca Dorsey DDS,2005-06-13,Female,Dutch,+1-439-923-0567x3759,active,2025-04-15T16:54:39
98,Michael Lawson,1997-12-19,Male,Brazilian,391.881.2255x08339,active,2024-12-11T01:20:33
99,Joel Lewis,1998-01-20,Male,French,669.681.9565,retired,2024-07-16T10:33:53
100,Christopher Jones,2003-01-18,Male,Argentine,(880)538-6592x47651,active,2025-12-30T01:27:20
